               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 128,            0.032122,           0.0080485,           0.0018886,             0.97877,             0.87909,             0.91438,              0.6003,            0.034474,           0.0082686,           0.0019132,           0.0069541,           0.0069541,           0.0069541
                 129,            0.031882,           0.0080849,           0.0018589,             0.98485,             0.87545,             0.91501,             0.60812,            0.034469,           0.0082755,           0.0019089,           0.0069134,           0.0069134,           0.0069134
                 130,            0.032183,           0.0081513,           0.0018449,             0.98521,             0.87549,             0.91541,              0.6062,            0.034448,           0.0082909,           0.0019085,           0.0068726,           0.0068726,           0.0068726
                 131,            0.031638,           0.0080667,           0.0018364,             0.98572,             0.87545,             0.91579,             0.60913,            0.034427,           0.0082717,           0.0019127,           0.0068316,           0.0068316,           0.0068316
                 132,            0.031775,           0.0080177,           0.0018703,             0.98011,             0.87913,             0.91605,             0.60985,            0.034416,           0.0082552,           0.0019119,           0.0067906,           0.0067906,           0.0067906
                 133,            0.032124,           0.0080934,           0.0019294,             0.98773,             0.87514,             0.91787,             0.61113,            0.034409,           0.0082605,           0.0019097,           0.0067495,           0.0067495,           0.0067495
                 134,            0.031737,           0.0080098,           0.0018355,             0.98193,             0.87908,             0.91781,             0.61192,            0.034401,           0.0082565,           0.0019068,           0.0067083,           0.0067083,           0.0067083
                 135,            0.031686,           0.0080405,           0.0018453,             0.98432,             0.87924,             0.91789,             0.61194,            0.034392,           0.0082539,           0.0019066,           0.0066671,           0.0066671,           0.0066671
                 136,             0.03183,           0.0080231,           0.0018669,             0.98395,             0.87931,             0.91792,             0.61167,            0.034387,            0.008252,           0.0019076,           0.0066257,           0.0066257,           0.0066257
                 137,            0.031491,           0.0079356,           0.0017803,             0.98811,              0.8763,             0.91603,             0.61552,            0.034384,           0.0082496,           0.0019035,           0.0065843,           0.0065843,           0.0065843
                 138,            0.031142,           0.0079074,           0.0017904,             0.98822,             0.87577,             0.91603,              0.6152,            0.034431,           0.0082277,           0.0018997,           0.0065429,           0.0065429,           0.0065429
                 139,             0.03125,           0.0079068,            0.001862,             0.98808,             0.87508,             0.91792,             0.61336,            0.034419,           0.0082221,              0.0019,           0.0065013,           0.0065013,           0.0065013
                 140,            0.031345,            0.007978,           0.0018582,             0.98664,             0.87524,             0.91819,             0.61446,            0.034393,           0.0081974,           0.0018992,           0.0064597,           0.0064597,           0.0064597
                 141,            0.031433,           0.0079367,            0.001702,             0.98464,             0.87658,             0.91825,              0.6131,            0.034397,           0.0082211,           0.0018955,           0.0064181,           0.0064181,           0.0064181
                 142,            0.031197,           0.0079681,           0.0017525,             0.98425,             0.87654,             0.91823,             0.61387,            0.034389,           0.0082176,           0.0018971,           0.0063764,           0.0063764,           0.0063764
                 143,            0.031334,           0.0080957,           0.0017842,             0.98272,             0.87659,              0.9183,             0.61423,            0.034351,           0.0082174,           0.0018956,           0.0063347,           0.0063347,           0.0063347
                 144,            0.031262,            0.007975,           0.0017841,             0.98279,             0.87639,             0.91841,             0.61427,             0.03435,           0.0081945,           0.0018985,            0.006293,            0.006293,            0.006293
                 145,            0.031125,           0.0079323,           0.0018474,             0.98378,             0.87643,             0.91823,             0.61444,            0.034336,           0.0081995,           0.0018987,           0.0062512,           0.0062512,           0.0062512
                 146,            0.031021,           0.0078984,           0.0016538,             0.98274,             0.87632,             0.91829,             0.61408,            0.034316,            0.008207,           0.0018961,           0.0062093,           0.0062093,           0.0062093
                 147,            0.030812,           0.0078695,           0.0017322,             0.98137,             0.87635,             0.91831,              0.6148,             0.03429,           0.0082095,           0.0018956,           0.0061675,           0.0061675,           0.0061675
                 148,            0.031133,           0.0079635,           0.0017716,             0.98128,             0.87633,             0.91837,             0.61484,            0.034261,           0.0082187,           0.0018986,           0.0061256,           0.0061256,           0.0061256
                 149,            0.030813,            0.007772,           0.0017292,              0.9814,             0.87646,             0.91846,             0.61546,            0.034237,           0.0082014,           0.0018992,           0.0060838,           0.0060838,           0.0060838
                 150,            0.030684,            0.007827,           0.0017406,             0.98035,             0.87652,             0.91856,             0.61451,            0.034214,           0.0082012,           0.0019011,           0.0060419,           0.0060419,           0.0060419
                 151,            0.030897,             0.00784,           0.0016887,             0.98044,             0.87648,             0.92742,              0.6144,            0.034192,           0.0082194,           0.0019032,               0.006,               0.006,               0.006
